transliteration,translation,augmentation
an-na a-lá-ḫi-im qí-bi-ma um-ma a-mur-IŠTAR-ma a-dí ḫu-ma ša áš-pu-ra-ku-ni u₄-mu-a ITU.1.KAM a-na a-wa-tim ta-da-nim a-ḫu-ru-ú ú me-eḫ-ra-am ša ší-bi-a ta-áš-ta-na-pá-ra-am tí-ir-ta-kà i-na ša-am-ší na-áš-pé-er-tí ta-ša-me-ú tí-ir-ta-kà li-li-kam a-zu u₄-ma-kál lá i-sà-ḫu-ur tí-ir-ta-kà li-li-kam šu-ma a-wa-tim ta-da-na-am lá-dí-in šu-ma É-tám kà-ba-sà-am lá-ak-bu-us a-wa-tim a-ni-na i-de₈ a-ma-kam a-ni-na ša-i-il₅ 4 GÚ 30 ma-na URUDU ṣa-lá-ma-am É a-šur-iš-tí-kál DUMU ḫi-na-a na-dí té-i-ra-tum ša ú-kà-lu-ma té-er-ta-kà li-li-kam,"To Ali-ahum from Amur-Ištar: Concerning huma about whom I wrote to you, my terms for starting a legal case have one month to run, but you keep sending me a copy of my witnessed tablet. Your message should - on the very day you hear my missive - your message should come. Azu must not be delayed a single day! - your message should come! If it is a matter of engaging in a legal case, I shall do it! If it is a matter of remitting the house, I shall do it! Annina knows the matter. Ask Annina there! 4 talents 30 minas of black copper is deposited in the house of Aššuruš-tikal son of hinnaya. Send me word about the orders that he holds.",lexicon_variant
a-na a-la-ḫu-um qí-bi-ma um-ma a-mur-IŠTAR-ma a-dí ḫu-ma ša áš-pu-ra-ku-ni u₄-mu-a ITU.1.KAM a-na a-wa-tim ta-da-nim a-ḫu-ru-ú ú me-eḫ-ra-am ša ší-bi-a ta-áš-ta-na-pá-ra-am tí-ir-ta-kà i-na ša-am-ší na-áš-pé-er-tí ta-ša-me-ú tí-ir-ta-kà li-li-kam a-zu u₄-ma-kál lá i-sà-ḫu-ur tí-ir-ta-kà li-li-kam šu-ma a-wa-tim ta-da-na-am lá-dí-in šu-ma É-tám kà-ba-sà-am lá-ak-bu-us a-wa-tim a-ni-na i-de₈ a-ma-kam a-ni-na ša-i-il₅ 4 GÚ 30 ma-na URUDU ṣa-lá-ma-am É a-šur-iš-tí-kál DUMU ḫi-na-a na-dí té-i-ra-tum ša ú-kà-lu-ma té-er-ta-kà li-li-kam,"To Ali-ahum from Amur-Ištar: Concerning huma about whom I wrote to you, my terms for starting a legal case have one month to run, but you keep sending me a copy of my witnessed tablet. Your message should - on the very day you hear my missive - your message should come. Azu must not be delayed a single day! - your message should come! If it is a matter of engaging in a legal case, I shall do it! If it is a matter of remitting the house, I shall do it! Annina knows the matter. Ask Annina there! 4 talents 30 minas of black copper is deposited in the house of Aššuruš-tikal son of hinnaya. Send me word about the orders that he holds.",lexicon_variant
a-na pí-la-aḫ-IŠTAR DUMU a-šùr-SIPA ú a-mur-IŠTAR ni-a-im,To Pilah-Ištar son of Aššur-rēʾī and our own Amur-Ištar;,none
an-na pí-la-aḫ-IŠTAR DUMU a-šùr-SIPA ú a-mur-IŠTAR ni-a-im,To Pilah-Ištar son of Aššur-rēʾī and our own Amur-Ištar;,lexicon_variant
a-na pí-lá-aḫ-IŠTAR DUMU a-šùr-SIPA ú a-mur-IŠTAR ni-a-im,To Pilah-Ištar son of Aššur-rēʾī and our own Amur-Ištar;,lexicon_variant
KIŠIB en-um-a-šùr DUMU ša-lim-a-šùr,seal of Ennam-Aššur son of Šalim-Aššur.,none
ku-nu-ku-šu en-um-a-šùr DUMU ša-lim-a-šùr,seal of Ennam-Aššur son of Šalim-Aššur.,lexicon_variant
ku-nu-ki en-um-a-šùr DUMU ša-lim-a-šùr,seal of Ennam-Aššur son of Šalim-Aššur.,lexicon_variant
šu-IŠTAR ù en-na-sú-in iṣ-bu-tù-ni-a-tí-ma um-ma en-na-sú-in-ma KÙ ša qá-ta-at a-al-DU₁₀ a-šu-mì ki-li-ri-e ni-il₅-tap-tù KÙ šu-qú-ul um-ma šu-IŠTAR-ma a-na 6 ITU.KAM ki-ma a-wa-at a-li-a a-lá-kam-ma a-wa-tám a-dá-na-kum um-ma en-na-sú-in-ma šu-ma a-na 6 ITU.KAM a-na ta-wi-ni-a lá ta-lá-kam-ma a-wa-tám lá ta-dí-nam ba-lum dí-nim ba-lúm ma-mì-tim KÙ ú ṣí-ba-tí-šu lá ta-dá-nam um-ma šu-IŠTAR-ma lá-dí-na-kum a-na a-wa-tim a-ni-a-tim kà-ru-um ta-wi-ni-a i-dí-ni-a-tí-ma IGI GÍR ša a-šur ṭup-pá-am a-ni-am ni-dí-in IGI IŠTAR-ba-ni IGI ší-ma-ta-nim IGI zu-NI-a ma-num-ba-lúm-a-šur DUMU du-ni-a ra-bu-ni,"Šu-Ištar and Ennam-Suen seized us and Ennam-Suen said: The silver for which we had ourselves registered as guarantors of Al-ṭāb concerning the Kilirians, pay that silver"". Šu-Ištar answered: ""Within 6 months, in accordance with the ruling of my city, I will come and render account to you"". Ennam-Suen said: ""If you do not come to Tawiniya within 6 months and do not render account to me, will you then not give me the silver and its interest without resorting to legal action or oath?"" Šu-Ištar answered: ""I will give it to you"". For these words the Tawiniya colony made us appear in court and before Aššur's dagger we gave this tablet. Witnessed by Ištar-bāni, by Šimatānum, by Zul / niya; Mannum-balum-Aššur, son of Dunniya, was our fourth man.""",none
šu-iš-tár ù en-na-sú-in iṣ-bu-tù-ni-a-tí-ma um-ma en-na-sú-in-ma KÙ ša qá-ta-at a-al-DU₁₀ a-šu-mì ki-li-ri-e ni-il₅-tap-tù KÙ šu-qú-ul um-ma šu-IŠTAR-ma a-na 6 ITU.KAM ki-ma a-wa-at a-li-a a-lá-kam-ma a-wa-tám a-dá-na-kum um-ma en-na-sú-in-ma šu-ma a-na 6 ITU.KAM a-na ta-wi-ni-a lá ta-lá-kam-ma a-wa-tám lá ta-dí-nam ba-lum dí-nim ba-lúm ma-mì-tim KÙ ú ṣí-ba-tí-šu lá ta-dá-nam um-ma šu-IŠTAR-ma lá-dí-na-kum a-na a-wa-tim a-ni-a-tim kà-ru-um ta-wi-ni-a i-dí-ni-a-tí-ma IGI GÍR ša a-šur ṭup-pá-am a-ni-am ni-dí-in IGI IŠTAR-ba-ni IGI ší-ma-ta-nim IGI zu-NI-a ma-num-ba-lúm-a-šur DUMU du-ni-a ra-bu-ni,"Šu-Ištar and Ennam-Suen seized us and Ennam-Suen said: The silver for which we had ourselves registered as guarantors of Al-ṭāb concerning the Kilirians, pay that silver"". Šu-Ištar answered: ""Within 6 months, in accordance with the ruling of my city, I will come and render account to you"". Ennam-Suen said: ""If you do not come to Tawiniya within 6 months and do not render account to me, will you then not give me the silver and its interest without resorting to legal action or oath?"" Šu-Ištar answered: ""I will give it to you"". For these words the Tawiniya colony made us appear in court and before Aššur's dagger we gave this tablet. Witnessed by Ištar-bāni, by Šimatānum, by Zul / niya; Mannum-balum-Aššur, son of Dunniya, was our fourth man.""",lexicon_variant
(m)šu-IŠTAR ù en-na-sú-in iṣ-bu-tù-ni-a-tí-ma um-ma en-na-sú-in-ma KÙ ša qá-ta-at a-al-DU₁₀ a-šu-mì ki-li-ri-e ni-il₅-tap-tù KÙ šu-qú-ul um-ma šu-IŠTAR-ma a-na 6 ITU.KAM ki-ma a-wa-at a-li-a a-lá-kam-ma a-wa-tám a-dá-na-kum um-ma en-na-sú-in-ma šu-ma a-na 6 ITU.KAM a-na ta-wi-ni-a lá ta-lá-kam-ma a-wa-tám lá ta-dí-nam ba-lum dí-nim ba-lúm ma-mì-tim KÙ ú ṣí-ba-tí-šu lá ta-dá-nam um-ma šu-IŠTAR-ma lá-dí-na-kum a-na a-wa-tim a-ni-a-tim kà-ru-um ta-wi-ni-a i-dí-ni-a-tí-ma IGI GÍR ša a-šur ṭup-pá-am a-ni-am ni-dí-in IGI IŠTAR-ba-ni IGI ší-ma-ta-nim IGI zu-NI-a ma-num-ba-lúm-a-šur DUMU du-ni-a ra-bu-ni,"Šu-Ištar and Ennam-Suen seized us and Ennam-Suen said: The silver for which we had ourselves registered as guarantors of Al-ṭāb concerning the Kilirians, pay that silver"". Šu-Ištar answered: ""Within 6 months, in accordance with the ruling of my city, I will come and render account to you"". Ennam-Suen said: ""If you do not come to Tawiniya within 6 months and do not render account to me, will you then not give me the silver and its interest without resorting to legal action or oath?"" Šu-Ištar answered: ""I will give it to you"". For these words the Tawiniya colony made us appear in court and before Aššur's dagger we gave this tablet. Witnessed by Ištar-bāni, by Šimatānum, by Zul / niya; Mannum-balum-Aššur, son of Dunniya, was our fourth man.""",lexicon_variant
KIŠIB a-de₈-lá-at,"Seal of Adad-ellat,",none
ku-nu-ku-šu a-de₈-lá-at,"Seal of Adad-ellat,",lexicon_variant
ku-nu-ki a-de₈-lá-at,"Seal of Adad-ellat,",lexicon_variant
KIŠIB ir-am-(d)a-šùr DUMU i-dí-ba-ni,"seal of Ir'am-Aššur, son of Idi-bāni,",none
ku-nu-ku-šu ir-am-(d)a-šùr DUMU i-dí-ba-ni,"seal of Ir'am-Aššur, son of Idi-bāni,",lexicon_variant
ku-nu-ki ir-am-(d)a-šùr DUMU i-dí-ba-ni,"seal of Ir'am-Aššur, son of Idi-bāni,",lexicon_variant
KIŠIB pí-lá-aḫ-IŠTAR DUMU i-bi₄-sú-a ša 12 GÍN KÙ.BABBAR a-al-DU₁₀ a-na kur-ub-sú-in ḫa-bu-lu-ma en-na-sú-in qá-ta-tù-ni 12 GÍN KÙ.BABBAR ki-ma [...] [...],"seal of Pilah-Ištar, son of Ibisua, to the effect that Āl-ṭāb owes 12 shekels of silver to Kurub-Suen and Ennam-Suen is guarantorThe 12 shekels of silver instead of ... ...",none
ku-nu-ku-šu pí-lá-aḫ-IŠTAR DUMU i-bi₄-sú-a ša 12 GÍN KÙ.BABBAR a-al-DU₁₀ a-na kur-ub-sú-in ḫa-bu-lu-ma en-na-sú-in qá-ta-tù-ni 12 GÍN KÙ.BABBAR ki-ma [...] [...],"seal of Pilah-Ištar, son of Ibisua, to the effect that Āl-ṭāb owes 12 shekels of silver to Kurub-Suen and Ennam-Suen is guarantorThe 12 shekels of silver instead of ... ...",lexicon_variant
ku-nu-ki pí-lá-aḫ-IŠTAR DUMU i-bi₄-sú-a ša 12 GÍN KÙ.BABBAR a-al-DU₁₀ a-na kur-ub-sú-in ḫa-bu-lu-ma en-na-sú-in qá-ta-tù-ni 12 GÍN KÙ.BABBAR ki-ma [...] [...],"seal of Pilah-Ištar, son of Ibisua, to the effect that Āl-ṭāb owes 12 shekels of silver to Kurub-Suen and Ennam-Suen is guarantorThe 12 shekels of silver instead of ... ...",lexicon_variant
um-ma a-lu-lá-a ú a-mur-IŠTAR-ma a-na en-um-a-šur qí-bi₄-ma ta-áš-pu-ra-am um-ma a-ta-ma ší-im URUDU KÙ.BABBAR ma-ma-ḫi-ir li-dí-na-ku-nu-tí um-ma né-nu-ma a-ḫu-um ku-a-tí a-wa-tum ša um-me-an a-bi₄-šu-nu ga-am-ra-at KÙ.BABBAR 10 ma-na ú 20 ma-na šé-bi₄-il₅-šu-ma IGI um-me-an a-bi₄-šu li-iš-ku-un-ma li-ik-bi₄-it um-ma šu-ut-ma ú-lá ú-šé-ba-al-šu-um a-dí i-a-tám i-du-nu-ni ni-ip-nu-šu-ma um-ma né-nu-ma a-ḫu-ni a-ta a-ta ú en-nam-a-šur lá ša a-wa-tim šu-ma lá qé-pu-tum ḫu-sà-ra-am kà-il₅ ú né-nu lu ni-pu-ul-kà a ma-lá DUMU-e šál-ma-a-šur ta-šé-e-ú i ba-áb ḫa-ra-nim nu-qí-ip-ma um-ma šu-ut-ma KÙ.BABBAR 10 ma-na ú-šé-ba-al wa-ar-ki-tám na-áš-pè-er-tum ša a-ḫi-kà i-li-kà-ma um-ma šu-ut-ma i-a-tí a-na a-wa-tim i-tù-ra-am ú-lá ší-ba-am a-na URUDU ú ḫu-sà-ri-im mì-ma li-ba-kà lá i-pá-ri-id al-kà-ma a-ta ú ma-ma-ḫi-ir na-me-ra-ma za-ku-sà ší-im AN.NA-kà 2 ma-na 22.5 GÍN KÙ.BABBAR šé-lu-um-ar-dí ú ,"From Alulaya and Amur-Ištar to Ennam-Aššur: You have written and said: Man-mahir shall give you the silver proceeds from the copper."" We said (to him): ""He is a brother for you. The matter of the investors of their father has been cleared up. Send him some 10 or 20 minas of silver so he can place them before his father's investors and he will be respected."" He answered: ""I shall not send him anything until they sell my things."" We confronted him and said: ""Our dear brother, you and Ennam-Aššur are not men of strife. If the things are not entrusted goods, then keep the lapis lazuli. We shall then answer for you. We guaranteed when the journey began for as much as you are suing Šalim-Aššur's sons for."" So he said: ""I shall send some 10 minas."" Later your brother's missive arrived, in which he said: ""It is against me he has raised claim."" (He has) no witness. Do not in any way worry about the copper and the lapis lazuli. Come so you and Man-mahir may meet and Šalim-wardī and Šēp-Ištar bring the final account for the proceeds from your tin, 2 minas 22.5 shekels of silver to you.""",none
ú-ma a-lu-lá-a ú a-mur-IŠTAR-ma a-na en-um-a-šur qí-bi₄-ma ta-áš-pu-ra-am um-ma a-ta-ma ší-im URUDU KÙ.BABBAR ma-ma-ḫi-ir li-dí-na-ku-nu-tí um-ma né-nu-ma a-ḫu-um ku-a-tí a-wa-tum ša um-me-an a-bi₄-šu-nu ga-am-ra-at KÙ.BABBAR 10 ma-na ú 20 ma-na šé-bi₄-il₅-šu-ma IGI um-me-an a-bi₄-šu li-iš-ku-un-ma li-ik-bi₄-it um-ma šu-ut-ma ú-lá ú-šé-ba-al-šu-um a-dí i-a-tám i-du-nu-ni ni-ip-nu-šu-ma um-ma né-nu-ma a-ḫu-ni a-ta a-ta ú en-nam-a-šur lá ša a-wa-tim šu-ma lá qé-pu-tum ḫu-sà-ra-am kà-il₅ ú né-nu lu ni-pu-ul-kà a ma-lá DUMU-e šál-ma-a-šur ta-šé-e-ú i ba-áb ḫa-ra-nim nu-qí-ip-ma um-ma šu-ut-ma KÙ.BABBAR 10 ma-na ú-šé-ba-al wa-ar-ki-tám na-áš-pè-er-tum ša a-ḫi-kà i-li-kà-ma um-ma šu-ut-ma i-a-tí a-na a-wa-tim i-tù-ra-am ú-lá ší-ba-am a-na URUDU ú ḫu-sà-ri-im mì-ma li-ba-kà lá i-pá-ri-id al-kà-ma a-ta ú ma-ma-ḫi-ir na-me-ra-ma za-ku-sà ší-im AN.NA-kà 2 ma-na 22.5 GÍN KÙ.BABBAR šé-lu-um-ar-dí ú,"From Alulaya and Amur-Ištar to Ennam-Aššur: You have written and said: Man-mahir shall give you the silver proceeds from the copper."" We said (to him): ""He is a brother for you. The matter of the investors of their father has been cleared up. Send him some 10 or 20 minas of silver so he can place them before his father's investors and he will be respected."" He answered: ""I shall not send him anything until they sell my things."" We confronted him and said: ""Our dear brother, you and Ennam-Aššur are not men of strife. If the things are not entrusted goods, then keep the lapis lazuli. We shall then answer for you. We guaranteed when the journey began for as much as you are suing Šalim-Aššur's sons for."" So he said: ""I shall send some 10 minas."" Later your brother's missive arrived, in which he said: ""It is against me he has raised claim."" (He has) no witness. Do not in any way worry about the copper and the lapis lazuli. Come so you and Man-mahir may meet and Šalim-wardī and Šēp-Ištar bring the final account for the proceeds from your tin, 2 minas 22.5 shekels of silver to you.""",lexicon_variant
u₄-ma a-lu-lá-a ú a-mur-IŠTAR-ma a-na en-um-a-šur qí-bi₄-ma ta-áš-pu-ra-am um-ma a-ta-ma ší-im URUDU KÙ.BABBAR ma-ma-ḫi-ir li-dí-na-ku-nu-tí um-ma né-nu-ma a-ḫu-um ku-a-tí a-wa-tum ša um-me-an a-bi₄-šu-nu ga-am-ra-at KÙ.BABBAR 10 ma-na ú 20 ma-na šé-bi₄-il₅-šu-ma IGI um-me-an a-bi₄-šu li-iš-ku-un-ma li-ik-bi₄-it um-ma šu-ut-ma ú-lá ú-šé-ba-al-šu-um a-dí i-a-tám i-du-nu-ni ni-ip-nu-šu-ma um-ma né-nu-ma a-ḫu-ni a-ta a-ta ú en-nam-a-šur lá ša a-wa-tim šu-ma lá qé-pu-tum ḫu-sà-ra-am kà-il₅ ú né-nu lu ni-pu-ul-kà a ma-lá DUMU-e šál-ma-a-šur ta-šé-e-ú i ba-áb ḫa-ra-nim nu-qí-ip-ma um-ma šu-ut-ma KÙ.BABBAR 10 ma-na ú-šé-ba-al wa-ar-ki-tám na-áš-pè-er-tum ša a-ḫi-kà i-li-kà-ma um-ma šu-ut-ma i-a-tí a-na a-wa-tim i-tù-ra-am ú-lá ší-ba-am a-na URUDU ú ḫu-sà-ri-im mì-ma li-ba-kà lá i-pá-ri-id al-kà-ma a-ta ú ma-ma-ḫi-ir na-me-ra-ma za-ku-sà ší-im AN.NA-kà 2 ma-na 22.5 GÍN KÙ.BABBAR šé-lu-um-ar-dí ú,"From Alulaya and Amur-Ištar to Ennam-Aššur: You have written and said: Man-mahir shall give you the silver proceeds from the copper."" We said (to him): ""He is a brother for you. The matter of the investors of their father has been cleared up. Send him some 10 or 20 minas of silver so he can place them before his father's investors and he will be respected."" He answered: ""I shall not send him anything until they sell my things."" We confronted him and said: ""Our dear brother, you and Ennam-Aššur are not men of strife. If the things are not entrusted goods, then keep the lapis lazuli. We shall then answer for you. We guaranteed when the journey began for as much as you are suing Šalim-Aššur's sons for."" So he said: ""I shall send some 10 minas."" Later your brother's missive arrived, in which he said: ""It is against me he has raised claim."" (He has) no witness. Do not in any way worry about the copper and the lapis lazuli. Come so you and Man-mahir may meet and Šalim-wardī and Šēp-Ištar bring the final account for the proceeds from your tin, 2 minas 22.5 shekels of silver to you.""",lexicon_variant
KIŠIB i-dí-a-šur DUMU ì-lí-dan,"Seal of Iddin-Aššur, son of Ilī-dān,",none
ku-nu-ku-šu i-dí-a-šur DUMU ì-lí-dan,"Seal of Iddin-Aššur, son of Ilī-dān,",lexicon_variant
ku-nu-ki i-dí-a-šur DUMU ì-lí-dan,"Seal of Iddin-Aššur, son of Ilī-dān,",lexicon_variant
KIŠIB a-šur-SIPA DUMU i-dí-da,"seal of Aššur-rē'ī, son of Idida,",none
ku-nu-ku-šu a-šur-SIPA DUMU i-dí-da,"seal of Aššur-rē'ī, son of Idida,",lexicon_variant
ku-nu-ki a-šur-SIPA DUMU i-dí-da,"seal of Aššur-rē'ī, son of Idida,",lexicon_variant
KIŠIB e-lá-ma DUMU i-dí-sú-en₆,"seal of Elamma, son of Iddin-Suen,",none
ku-nu-ku-šu e-lá-ma DUMU i-dí-sú-en₆,"seal of Elamma, son of Iddin-Suen,",lexicon_variant
ku-nu-ki e-lá-ma DUMU i-dí-sú-en₆,"seal of Elamma, son of Iddin-Suen,",lexicon_variant
KIŠIB PUZUR₄.IŠTAR DUMU a-šur-ma-lik ší-ma-at i-dí-a-šur DUMU ì-lí-dan be-el ší-ma-tí-a a-na ba-áb DINGIR lá ú-šé-ru-du ša ú-šé-ru-du 10 ma-na KÙ.BABBAR i-ša-qal,"seal of Puzur-Ištar, son of Aššur-mālik. Testament of Iddin-Aššur, son of Ilī-dān. They shall not lead my testamentary executors down to the Gate of the God. Who does lead them down shall pay 10 minas of silver.",none
ku-nu-ku-šu PUZUR₄.IŠTAR DUMU a-šur-ma-lik ší-ma-at i-dí-a-šur DUMU ì-lí-dan be-el ší-ma-tí-a a-na ba-áb DINGIR lá ú-šé-ru-du ša ú-šé-ru-du 10 ma-na KÙ.BABBAR i-ša-qal,"seal of Puzur-Ištar, son of Aššur-mālik. Testament of Iddin-Aššur, son of Ilī-dān. They shall not lead my testamentary executors down to the Gate of the God. Who does lead them down shall pay 10 minas of silver.",lexicon_variant
ku-nu-ki PUZUR₄.IŠTAR DUMU a-šur-ma-lik ší-ma-at i-dí-a-šur DUMU ì-lí-dan be-el ší-ma-tí-a a-na ba-áb DINGIR lá ú-šé-ru-du ša ú-šé-ru-du 10 ma-na KÙ.BABBAR i-ša-qal,"seal of Puzur-Ištar, son of Aššur-mālik. Testament of Iddin-Aššur, son of Ilī-dān. They shall not lead my testamentary executors down to the Gate of the God. Who does lead them down shall pay 10 minas of silver.",lexicon_variant
um-ma i-ku-pí-a-ma a-na PUZUR₄-ša-du-e qí-bi-ma 2 ku-ta-ni ša a-dí-na-ku-ni a ší-mì-im dí-in-šu-nu-ma i-na ší-mì-šu-nu 6 ma-na URUDU SIG₅ ù 2 ma-na ni-ga-li ša-a-ma ú ri-iḫ-tí KÙ.BABBAR tí-ri kà-in-ma iš-tí a-li-ki-im pá-nim-ma ṣú-ḫa-ra-am ù KÙ.BABBAR a-na DUMU um-me-a-nim pì-qí-id-ma lu-ub-lam ša 0.33333 GÍN KÙ.BABBAR šu-um-ki ù du-uk-li ša-a-ma šé-bi₄-lam a-ḫi a-ta a-na ša-zu-úz-tí-a i-ḫi-id TÚG.ḪI-tí-a a-na ší-mì-im dí-na-ma ù me-eḫ-ra-at ša-áp-ra-tim ša na-ad-a-ni KÙ.BABBAR en-um-a-šùr DUMU šál-ma-a-šùr e-ri-iš-ma li-dí-na-ku-ma KÙ.BABBAR lu ší-im TÚG.ḪI-tí-a lu me-eḫ-ra-at ša-áp-ra-tim ša i-du-nu-ni-ku-ni i pá-ni-kà bi₄-lam a-pu-tum ki-ma ṭup-pá-am ša sá-ra-tim ta-áš-me-ú tí-ib-a-ma a-tal-kam,"From Ikūn-pīya to Puzur-šadue: As to the 2  I gave you, sell them and buy 6 minas of good copper and 2 minas of sickles for the proceeds from them, and then confirm the -silver for the rest, and with the very first caravan you should entrust a servant and the silver to an affiliated trader so he may bring it. Buy onions and  for 0.3333 shekel of silver and send it to me. My dear brother, pay attention to my agent! Sell my textiles and then demand in silver from Ennam-Aššur son of Šalim-Aššur what corresponds to the pledges that have been deposited, so he may give it to you, and bring personally the silver, both the proceeds in silver from my textiles and the corresponding amount for the pledges that they give to you. Urgent, set out and come since you have heard a letter with falsehoods.",none
ú-ma i-ku-pí-a-ma a-na PUZUR₄-ša-du-e qí-bi-ma 2 ku-ta-ni ša a-dí-na-ku-ni a ší-mì-im dí-in-šu-nu-ma i-na ší-mì-šu-nu 6 ma-na URUDU SIG₅ ù 2 ma-na ni-ga-li ša-a-ma ú ri-iḫ-tí KÙ.BABBAR tí-ri kà-in-ma iš-tí a-li-ki-im pá-nim-ma ṣú-ḫa-ra-am ù KÙ.BABBAR a-na DUMU um-me-a-nim pì-qí-id-ma lu-ub-lam ša 0.33333 GÍN KÙ.BABBAR šu-um-ki ù du-uk-li ša-a-ma šé-bi₄-lam a-ḫi a-ta a-na ša-zu-úz-tí-a i-ḫi-id TÚG.ḪI-tí-a a-na ší-mì-im dí-na-ma ù me-eḫ-ra-at ša-áp-ra-tim ša na-ad-a-ni KÙ.BABBAR en-um-a-šùr DUMU šál-ma-a-šùr e-ri-iš-ma li-dí-na-ku-ma KÙ.BABBAR lu ší-im TÚG.ḪI-tí-a lu me-eḫ-ra-at ša-áp-ra-tim ša i-du-nu-ni-ku-ni i pá-ni-kà bi₄-lam a-pu-tum ki-ma ṭup-pá-am ša sá-ra-tim ta-áš-me-ú tí-ib-a-ma a-tal-kam,"From Ikūn-pīya to Puzur-šadue: As to the 2  I gave you, sell them and buy 6 minas of good copper and 2 minas of sickles for the proceeds from them, and then confirm the -silver for the rest, and with the very first caravan you should entrust a servant and the silver to an affiliated trader so he may bring it. Buy onions and  for 0.3333 shekel of silver and send it to me. My dear brother, pay attention to my agent! Sell my textiles and then demand in silver from Ennam-Aššur son of Šalim-Aššur what corresponds to the pledges that have been deposited, so he may give it to you, and bring personally the silver, both the proceeds in silver from my textiles and the corresponding amount for the pledges that they give to you. Urgent, set out and come since you have heard a letter with falsehoods.",lexicon_variant
u₄-ma i-ku-pí-a-ma a-na PUZUR₄-ša-du-e qí-bi-ma 2 ku-ta-ni ša a-dí-na-ku-ni a ší-mì-im dí-in-šu-nu-ma i-na ší-mì-šu-nu 6 ma-na URUDU SIG₅ ù 2 ma-na ni-ga-li ša-a-ma ú ri-iḫ-tí KÙ.BABBAR tí-ri kà-in-ma iš-tí a-li-ki-im pá-nim-ma ṣú-ḫa-ra-am ù KÙ.BABBAR a-na DUMU um-me-a-nim pì-qí-id-ma lu-ub-lam ša 0.33333 GÍN KÙ.BABBAR šu-um-ki ù du-uk-li ša-a-ma šé-bi₄-lam a-ḫi a-ta a-na ša-zu-úz-tí-a i-ḫi-id TÚG.ḪI-tí-a a-na ší-mì-im dí-na-ma ù me-eḫ-ra-at ša-áp-ra-tim ša na-ad-a-ni KÙ.BABBAR en-um-a-šùr DUMU šál-ma-a-šùr e-ri-iš-ma li-dí-na-ku-ma KÙ.BABBAR lu ší-im TÚG.ḪI-tí-a lu me-eḫ-ra-at ša-áp-ra-tim ša i-du-nu-ni-ku-ni i pá-ni-kà bi₄-lam a-pu-tum ki-ma ṭup-pá-am ša sá-ra-tim ta-áš-me-ú tí-ib-a-ma a-tal-kam,"From Ikūn-pīya to Puzur-šadue: As to the 2  I gave you, sell them and buy 6 minas of good copper and 2 minas of sickles for the proceeds from them, and then confirm the -silver for the rest, and with the very first caravan you should entrust a servant and the silver to an affiliated trader so he may bring it. Buy onions and  for 0.3333 shekel of silver and send it to me. My dear brother, pay attention to my agent! Sell my textiles and then demand in silver from Ennam-Aššur son of Šalim-Aššur what corresponds to the pledges that have been deposited, so he may give it to you, and bring personally the silver, both the proceeds in silver from my textiles and the corresponding amount for the pledges that they give to you. Urgent, set out and come since you have heard a letter with falsehoods.",lexicon_variant
i-ku-pí-a a-na i-dí-a-šur iṣ-ba-at-ni-a-tí-ma um-ma i-ku-pì-a-ma a-na i-dí-a-šùr-ma 40 GÚ URUDU SIG₅ ša um-me-a-nu i li-bi₄-kà iṣ-bu-tù-ni a-na-ku a-ḫu-a ù É a-bi₄-a ú-lá ni-tù-ra-kum a-na a-wa-tim a-ni-a-tim kà-ru-um dur₄-ḫu-mì-it ni-dí-in IGI ba-ba-zu-a IGI DU₁₀-ṣí-lá-a-šur IGI šu-IŠTAR,"Ikūn-pīya seized us against Iddin-Aššur and Ikūn-pīya said to Iddin-Aššur: Concerning the 40 talents of good copper that the investors seized in your possession, neither I nor my brother nor my paternal house will raise further claim against you. The Durhumit colony gave us for these proceedings, and we gave our testimony before Aššur's dagger. Witnessed by Babazua, Ṭāb-ṣill-Aššur, by Šu-Ištar.",none
i-ku-pì-a a-na i-dí-a-šur iṣ-ba-at-ni-a-tí-ma um-ma i-ku-pì-a-ma a-na i-dí-a-šùr-ma 40 GÚ URUDU SIG₅ ša um-me-a-nu i li-bi₄-kà iṣ-bu-tù-ni a-na-ku a-ḫu-a ù É a-bi₄-a ú-lá ni-tù-ra-kum a-na a-wa-tim a-ni-a-tim kà-ru-um dur₄-ḫu-mì-it ni-dí-in IGI ba-ba-zu-a IGI DU₁₀-ṣí-lá-a-šur IGI šu-IŠTAR,"Ikūn-pīya seized us against Iddin-Aššur and Ikūn-pīya said to Iddin-Aššur: Concerning the 40 talents of good copper that the investors seized in your possession, neither I nor my brother nor my paternal house will raise further claim against you. The Durhumit colony gave us for these proceedings, and we gave our testimony before Aššur's dagger. Witnessed by Babazua, Ṭāb-ṣill-Aššur, by Šu-Ištar.",lexicon_variant
